segmento,tiempo,frame,segundo,id,equipo,x,y,x_norm,y_norm,zona_v,zona_h,conf
2T — Inicio a TM Olimpia,2T,10776,359.2,3801,marmoleria,123.3,234.6,0.193,0.519,defensa,carril_central,0.78
2T — Inicio a TM Olimpia,2T,10776,359.2,3810,marmoleria,286.9,174.7,0.448,0.29,gestacion,carril_izquierdo,0.62
2T — Inicio a TM Olimpia,2T,10779,359.3,3801,marmoleria,116.5,235.3,0.182,0.522,defensa,carril_central,0.73
2T — Inicio a TM Olimpia,2T,10779,359.3,3809,marmoleria,478.9,329.1,0.748,0.882,definicion,carril_derecho,0.62
2T — Inicio a TM Olimpia,2T,10779,359.3,3810,marmoleria,286.7,174.7,0.448,0.29,gestacion,carril_izquierdo,0.62
2T — Inicio a TM Olimpia,2T,10782,359.4,3801,marmoleria,110.3,237.1,0.172,0.529,defensa,carril_central,0.74
2T — Inicio a TM Olimpia,2T,10782,359.4,3809,marmoleria,479.8,328.3,0.75,0.879,definicion,carril_derecho,0.7
2T — Inicio a TM Olimpia,2T,10782,359.4,3810,marmoleria,285.6,173.1,0.446,0.284,gestacion,carril_izquierdo,0.68
2T — Inicio a TM Olimpia,2T,10785,359.5,3801,marmoleria,109.2,236.2,0.171,0.526,defensa,carril_central,0.78
2T — Inicio a TM Olimpia,2T,10785,359.5,3809,marmoleria,484.1,327.3,0.756,0.875,definicion,carril_derecho,0.75
2T — Inicio a TM Olimpia,2T,10785,359.5,3810,marmoleria,287.1,170.2,0.449,0.273,gestacion,carril_izquierdo,0.65
2T — Inicio a TM Olimpia,2T,10788,359.6,3801,marmoleria,108.9,236.7,0.17,0.528,defensa,carril_central,0.78
2T — Inicio a TM Olimpia,2T,10788,359.6,3809,marmoleria,484.2,327.7,0.757,0.876,definicion,carril_derecho,0.76
2T — Inicio a TM Olimpia,2T,10788,359.6,3810,marmoleria,287.2,170.2,0.449,0.273,gestacion,carril_izquierdo,0.6
2T — Inicio a TM Olimpia,2T,10791,359.7,3801,marmoleria,107.5,237.5,0.168,0.531,defensa,carril_central,0.8
2T — Inicio a TM Olimpia,2T,10791,359.7,3809,marmoleria,484.1,327.7,0.756,0.876,definicion,carril_derecho,0.74
2T — Inicio a TM Olimpia,2T,10791,359.7,3810,marmoleria,286.6,171.3,0.448,0.277,gestacion,carril_izquierdo,0.49
2T — Inicio a TM Olimpia,2T,10794,359.8,3801,marmoleria,105.9,238.0,0.166,0.533,defensa,carril_central,0.65
2T — Inicio a TM Olimpia,2T,10794,359.8,3809,marmoleria,484.5,327.7,0.757,0.876,definicion,carril_derecho,0.73
2T — Inicio a TM Olimpia,2T,10794,359.8,3810,marmoleria,286.4,171.3,0.448,0.277,gestacion,carril_izquierdo,0.52
2T — Inicio a TM Olimpia,2T,10797,359.9,3801,marmoleria,100.3,239.2,0.157,0.537,defensa,carril_central,0.64
2T — Inicio a TM Olimpia,2T,10797,359.9,3809,marmoleria,484.4,327.7,0.757,0.876,definicion,carril_derecho,0.75
2T — Inicio a TM Olimpia,2T,10797,359.9,3810,marmoleria,286.1,170.8,0.447,0.275,gestacion,carril_izquierdo,0.6
2T — Inicio a TM Olimpia,2T,10800,360.0,3801,marmoleria,98.1,240.4,0.153,0.554,defensa,carril_central,0.73
2T — Inicio a TM Olimpia,2T,10800,360.0,3809,marmoleria,484.3,327.6,0.757,0.879,definicion,carril_derecho,0.74
2T — Inicio a TM Olimpia,2T,10800,360.0,3810,marmoleria,286.0,170.6,0.447,0.293,gestacion,carril_izquierdo,0.56
2T — Inicio a TM Olimpia,2T,10803,360.1,3801,marmoleria,96.7,244.5,0.151,0.569,defensa,carril_central,0.59
2T — Inicio a TM Olimpia,2T,10803,360.1,3809,marmoleria,485.5,327.8,0.759,0.88,definicion,carril_derecho,0.7
2T — Inicio a TM Olimpia,2T,10803,360.1,3810,marmoleria,285.9,170.6,0.447,0.293,gestacion,carril_izquierdo,0.57
2T — Inicio a TM Olimpia,2T,10806,360.2,3801,marmoleria,95.4,246.0,0.149,0.575,defensa,carril_central,0.67
2T — Inicio a TM Olimpia,2T,10806,360.2,3809,marmoleria,485.0,327.7,0.758,0.88,definicion,carril_derecho,0.7
2T — Inicio a TM Olimpia,2T,10806,360.2,3810,marmoleria,285.8,170.6,0.447,0.293,gestacion,carril_izquierdo,0.57
2T — Inicio a TM Olimpia,2T,10809,360.3,3801,marmoleria,90.8,249.4,0.142,0.587,defensa,carril_central,0.65
2T — Inicio a TM Olimpia,2T,10809,360.3,3809,marmoleria,484.5,327.7,0.757,0.88,definicion,carril_derecho,0.72
2T — Inicio a TM Olimpia,2T,10809,360.3,3806,olimpia,388.9,158.8,0.608,0.249,gestacion,carril_izquierdo,0.49
2T — Inicio a TM Olimpia,2T,10812,360.4,3801,marmoleria,89.8,250.8,0.14,0.592,defensa,carril_central,0.66
2T — Inicio a TM Olimpia,2T,10812,360.4,3809,marmoleria,484.4,327.8,0.757,0.88,definicion,carril_derecho,0.71
2T — Inicio a TM Olimpia,2T,10815,360.5,3801,marmoleria,89.0,251.0,0.139,0.593,defensa,carril_central,0.68
2T — Inicio a TM Olimpia,2T,10815,360.5,3809,marmoleria,484.5,327.7,0.757,0.879,definicion,carril_derecho,0.69
2T — Inicio a TM Olimpia,2T,10815,360.5,3810,marmoleria,287.7,172.0,0.45,0.299,gestacion,carril_izquierdo,0.45
2T — Inicio a TM Olimpia,2T,10818,360.6,3801,marmoleria,88.9,251.0,0.139,0.593,defensa,carril_central,0.67
2T — Inicio a TM Olimpia,2T,10818,360.6,3809,marmoleria,484.5,327.7,0.757,0.879,definicion,carril_derecho,0.69
2T — Inicio a TM Olimpia,2T,10821,360.7,3801,marmoleria,88.4,249.8,0.138,0.589,defensa,carril_central,0.66
2T — Inicio a TM Olimpia,2T,10821,360.7,3809,marmoleria,484.7,327.7,0.757,0.879,definicion,carril_derecho,0.66
2T — Inicio a TM Olimpia,2T,10821,360.7,3806,olimpia,387.2,159.0,0.605,0.25,gestacion,carril_izquierdo,0.6
2T — Inicio a TM Olimpia,2T,10821,360.7,3810,marmoleria,288.4,172.1,0.451,0.299,gestacion,carril_izquierdo,0.53
2T — Inicio a TM Olimpia,2T,10824,360.8,3795,olimpia,403.9,271.5,0.631,0.67,gestacion,carril_derecho,0.79
2T — Inicio a TM Olimpia,2T,10824,360.8,3801,marmoleria,86.2,251.6,0.135,0.595,defensa,carril_central,0.76
2T — Inicio a TM Olimpia,2T,10824,360.8,3809,marmoleria,484.4,327.5,0.757,0.879,definicion,carril_derecho,0.68
2T — Inicio a TM Olimpia,2T,10824,360.8,3806,olimpia,385.8,159.0,0.603,0.25,gestacion,carril_izquierdo,0.5
2T — Inicio a TM Olimpia,2T,10824,360.8,3810,marmoleria,289.2,171.4,0.452,0.296,gestacion,carril_izquierdo,0.52
2T — Inicio a TM Olimpia,2T,10827,360.9,3795,olimpia,406.4,270.0,0.635,0.664,gestacion,carril_derecho,0.8
2T — Inicio a TM Olimpia,2T,10827,360.9,3801,marmoleria,86.7,251.8,0.135,0.596,defensa,carril_central,0.74
2T — Inicio a TM Olimpia,2T,10827,360.9,3809,marmoleria,484.6,327.5,0.757,0.879,definicion,carril_derecho,0.66
2T — Inicio a TM Olimpia,2T,10827,360.9,3810,marmoleria,289.9,170.5,0.453,0.293,gestacion,carril_izquierdo,0.52
2T — Inicio a TM Olimpia,2T,10830,361.0,3795,olimpia,412.0,269.1,0.644,0.661,gestacion,carril_derecho,0.86
2T — Inicio a TM Olimpia,2T,10830,361.0,3801,marmoleria,89.6,253.4,0.14,0.602,defensa,carril_central,0.78
2T — Inicio a TM Olimpia,2T,10830,361.0,3809,marmoleria,484.3,327.4,0.757,0.878,definicion,carril_derecho,0.72
2T — Inicio a TM Olimpia,2T,10830,361.0,3810,marmoleria,291.2,169.4,0.455,0.289,gestacion,carril_izquierdo,0.67
2T — Inicio a TM Olimpia,2T,10830,361.0,3806,olimpia,384.1,158.1,0.6,0.247,gestacion,carril_izquierdo,0.53
2T — Inicio a TM Olimpia,2T,10833,361.1,3795,olimpia,418.1,269.8,0.653,0.663,gestacion,carril_derecho,0.83
2T — Inicio a TM Olimpia,2T,10833,361.1,3801,marmoleria,91.8,253.6,0.143,0.603,defensa,carril_central,0.74
2T — Inicio a TM Olimpia,2T,10833,361.1,3809,marmoleria,484.4,327.5,0.757,0.879,definicion,carril_derecho,0.71
2T — Inicio a TM Olimpia,2T,10833,361.1,3810,marmoleria,291.8,169.7,0.456,0.29,gestacion,carril_izquierdo,0.68
2T — Inicio a TM Olimpia,2T,10833,361.1,3806,olimpia,383.2,157.7,0.599,0.245,gestacion,carril_izquierdo,0.64
2T — Inicio a TM Olimpia,2T,10836,361.2,3795,olimpia,423.6,267.4,0.662,0.654,definicion,carril_central,0.82
2T — Inicio a TM Olimpia,2T,10836,361.2,3801,marmoleria,92.7,255.8,0.145,0.611,defensa,carril_central,0.69
2T — Inicio a TM Olimpia,2T,10836,361.2,3809,marmoleria,484.6,327.6,0.757,0.879,definicion,carril_derecho,0.65
2T — Inicio a TM Olimpia,2T,10836,361.2,3810,marmoleria,292.5,169.8,0.457,0.29,gestacion,carril_izquierdo,0.59
2T — Inicio a TM Olimpia,2T,10839,361.3,3795,olimpia,426.4,264.9,0.666,0.645,definicion,carril_central,0.81
2T — Inicio a TM Olimpia,2T,10839,361.3,3801,marmoleria,94.9,255.6,0.148,0.61,defensa,carril_central,0.64
2T — Inicio a TM Olimpia,2T,10839,361.3,3809,marmoleria,484.8,327.9,0.757,0.88,definicion,carril_derecho,0.66
2T — Inicio a TM Olimpia,2T,10839,361.3,3810,marmoleria,292.9,169.7,0.458,0.29,gestacion,carril_izquierdo,0.72
2T — Inicio a TM Olimpia,2T,10839,361.3,3806,olimpia,379.4,157.0,0.593,0.242,gestacion,carril_izquierdo,0.51
2T — Inicio a TM Olimpia,2T,10842,361.4,3795,olimpia,430.2,267.2,0.672,0.654,definicion,carril_central,0.75
2T — Inicio a TM Olimpia,2T,10842,361.4,3801,marmoleria,108.5,255.0,0.169,0.608,defensa,carril_central,0.67
2T — Inicio a TM Olimpia,2T,10842,361.4,3809,marmoleria,484.8,328.0,0.758,0.881,definicion,carril_derecho,0.69
2T — Inicio a TM Olimpia,2T,10842,361.4,3810,marmoleria,293.4,169.3,0.458,0.288,gestacion,carril_izquierdo,0.72
